"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"14240","Normal/Others","WS/MP18272/2024-2025/138305-Construction of rooms and halls in school and colleges","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Construction of New Hostel Building and infrastructure development of Morchi Golapnath S.C. High School (H.S.).","KALIPADA SAREN","JHARGRAM(ST)","Images","30-Jul-2026","2911701"
"14241","Normal/Others","WS/MP423/2025-2026/197177-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Construction of CC road from house of Nepal Pal to House of Soumen Pal. (Length- 161.5 Mtr, Width- 02 Mtr)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Images","29-Aug-2025","350000"
"14242","Normal/Others","WS/MP243/2025-2026/141123-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14243","Normal/Others","WS/MP243/2025-2026/141138-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14244","Normal/Others","WS/MP18309/2025-2026/209331-Construction of common work sheds/ common covered sitting area","Meghalaya","NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA)","Construction of Workshed at Damash Graveyard","SALENG A SANGMA","TURA","Images","21-Feb-2026","400000"
"14245","Normal/Others","WS/MP423/2025-2026/197178-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Construction of CC road with bricks soling from House of Ashis Sardar  to House of Kachari Sardar. (Length- 161.5 Mtr, Width- 02 Mtr)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Images","29-Aug-2025","350000"
"14246","Normal/Others","WS/MP18187/2025-2026/189987-Construction of additional rooms and halls in the existing public and community building","Telangana","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","Construction of Community hall at Guridekapu Colony Dilawarpur village","GODAM NAGESH","ADILABAD(ST)","Images","29-Aug-2025","499831"
"14247","Normal/Others","WS/MP18309/2025-2026/208889-Development of playground","Meghalaya","NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA)","Improvement of Playground (Earthwork) at Moamari","SALENG A SANGMA","TURA","Images","23-Apr-2026","1000000"
"14248","Normal/Others","WS/MP18371/2025-2026/205980-Construction of community centers and community halls","Manipur","THOUBAL(Deputy Commissioner Thoubal MPLADS_ida)","Construction of community hall at Lilong Arapti.","ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR","Images","24-Aug-2026","2850000"
"14249","Normal/Others","WS/MP243/2025-2026/141135-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14250","Normal/Others","WS/MP18187/2025-2026/189886-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","Construction of Road from R and B road to Sangvi Village","GODAM NAGESH","ADILABAD(ST)","Images","29-Aug-2025","149795"
"14251","Normal/Others","WS/MP243/2025-2026/141137-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14252","Normal/Others","WS/MP18072/2025-2026/204317-Construction of common work sheds/ common covered sitting area","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of shed near Mada Colony Premnagar Raju Rawani house","DULU MAHATO","DHANBAD","Images","13-Nov-2025","350000"
